iter	Logloss
0	0.6725657687
1	0.652972729
2	0.6367138233
3	0.6180000073
4	0.6024715687
5	0.5908087451
6	0.5775226583
7	0.5664299184
8	0.5560367
9	0.5445247029
10	0.5349102284
11	0.5267115368
12	0.5195588563
13	0.5135647964
14	0.5048533528
15	0.49944568
16	0.4940410196
17	0.4889493552
18	0.4820065937
19	0.4772516343
20	0.4713381087
21	0.4663902578
22	0.4620120053
23	0.4580589743
24	0.4555005174
25	0.4514078941
26	0.4461643951
27	0.4425659021
28	0.4374457254
29	0.4331556556
30	0.4295491321
31	0.4253533601
32	0.421818082
33	0.4188762033
34	0.415925553
35	0.4134405493
36	0.4108762899
37	0.4104246608
38	0.4088855054
39	0.4065476421
40	0.404153648
41	0.4017937433
42	0.3997854252
43	0.3976892446
44	0.3966712744
45	0.3940774588
46	0.3922240779
47	0.3898218682
48	0.3881480061
49	0.3872549608
